Team01,wild card
Team02,normal
Team03,normal
TeamKon,wild card
Team06,normal
Team07,early bird
Team08,wild card
Team09,normal
Team10,wild card
Team11,normal
Team12,early bird
Team13,wild card
Team14,normal
Team15,normal
Team16,wild card
Team17,normal
Team18,normal
Team19,wild card
Team20,wild card
Team21,early bird
Team22,early bird
Team23,normal
Team24,wild card
Team25,early bird
Team26,normal
Team27,early bird
Team28,early bird
Team29,early bird
Team30,normal
Team31,wild card
Team32,normal
Team33,early bird
Team34,normal
Team35,early bird
Team36,wild card
Team37,early bird
Team38,wild card
Team39,wild card
Team40,normal
Team41,normal
Team42,wild card
Team43,normal
Team44,wild card
Team45,wild card
Team46,wild card
Team47,normal
Team48,normal
Team49,normal
Team50,wild card
Team51,wild card
Team52,normal
Team53,normal
Team54,wild card
Team55,normal
Team56,wild card
Team57,normal
Team58,normal
Team59,wild card
Team60,early bird
Team61,wild card
Team62,early bird
Team63,normal
Team64,wild card
Team65,normal
Team66,wild card
Team67,normal
Team68,wild card
Team69,early bird
Team70,wild card
Team71,normal
Team72,early bird
Team73,early bird
Team74,normal
Team75,wild card
Team76,early bird
Team77,normal
Team78,early bird
Team79,normal
Team80,normal
Team81,wild card
Team82,wild card
Team83,normal
Team84,normal
Team85,normal
Team86,early bird
Team87,early bird
Team88,early bird
Team89,wild card
Team90,normal
Team91,early bird
Team92,normal
Team93,wild card
Team94,early bird
Team95,early bird
Team96,wild card
Team97,wild card
Team98,wild card
Team99,wild card
Team100,wild card
